GeneID	GYAPG	GYAOY	GYAOZ	GYAPA	GYAPB	GYAPC	GYAPH	GYAPN	GYAPO	GYAPP	GYAPS	GYAPT
jgi.p|Debha1|1258	777	1459	2246	1526	800	1395	3881	997	1602	1859	1919	835
jgi.p|Debha1|1259	80	129	263	146	94	205	702	262	341	167	190	107
jgi.p|Debha1|126	3	16	10	9	5	4	8	3	9	3	6	3
jgi.p|Debha1|1260	602	1647	2208	1828	997	2053	12156	6992	6381	1879	1998	919
jgi.p|Debha1|1261	1097	1421	3061	1474	809	1836	4888	1054	2239	2230	2508	1216
jgi.p|Debha1|1262	65	93	158	88	42	78	782	154	286	137	132	41
jgi.p|Debha1|1263	417	1533	1738	1663	990	2496	4377	2790	2265	1129	1253	560
jgi.p|Debha1|1264	2030	2050	5691	2572	1362	3250	2775	669	1159	4690	4851	2124
jgi.p|Debha1|1265	93	231	263	231	179	274	909	316	380	308	322	147
jgi.p|Debha1|1266	58	106	159	134	91	140	533	154	267	212	208	66
jgi.p|Debha1|1267	242	452	646	457	331	343	1339	562	481	401	396	228
jgi.p|Debha1|1268	59	79	151	99	45	88	832	266	360	148	157	67
jgi.p|Debha1|1269	134	138	357	143	123	183	588	148	218	350	364	155
jgi.p|Debha1|127	82	266	322	242	129	243	4646	928	1877	347	374	149
jgi.p|Debha1|1270	719	1501	2484	1632	978	2247	2128	863	1017	2007	2293	1085
jgi.p|Debha1|1271	1043	1299	2588	1513	863	1461	3466	643	1393	1689	1646	839
jgi.p|Debha1|1272	980	1241	2674	1382	581	1371	2590	666	1177	1992	2119	972
jgi.p|Debha1|1273	809	702	1935	676	459	822	1979	407	796	1597	1535	718
jgi.p|Debha1|1274	39	138	130	142	85	154	286	155	102	133	153	48
jgi.p|Debha1|1275	27	38	42	29	14	20	95	25	44	29	27	18
jgi.p|Debha1|1276	4549	5471	13985	6827	3978	8195	8278	2747	3673	7755	9248	4423
jgi.p|Debha1|1277	26	37	98	54	24	42	14	8	8	62	59	27
jgi.p|Debha1|1278	15613	144830	71144	133442	70562	134321	10836	17692	7496	47376	51828	23596
jgi.p|Debha1|1279	17	32	69	28	36	49	158	57	91	97	90	32
jgi.p|Debha1|128	7036	6365	20889	7252	4455	11696	21405	6331	9431	18473	20013	9583
jgi.p|Debha1|1280	44740	210867	212835	227466	132874	281330	51890	26683	24076	114290	150372	66976
jgi.p|Debha1|1281	0	2	0	2	0	3	0	0	0	0	0	0
jgi.p|Debha1|1282	0	1	3	3	2	4	1	0	0	1	0	0
jgi.p|Debha1|1283	4174	24304	18791	26310	12331	28334	56020	35131	29188	8276	10187	5632
jgi.p|Debha1|1284	397	470	1139	559	322	712	1028	401	487	733	880	460
jgi.p|Debha1|1285	830	759	1714	649	477	875	5023	1031	1938	1461	1348	692
jgi.p|Debha1|1286	364	435	1170	612	350	664	1293	323	609	735	840	393
jgi.p|Debha1|1287	658	834	2014	991	406	950	2534	694	1109	1214	1270	624
jgi.p|Debha1|1288	901	1366	2718	1667	932	2228	2432	746	896	1885	2128	958
jgi.p|Debha1|1289	471	2376	2146	2334	1402	2320	353	336	190	1452	1709	701
jgi.p|Debha1|129	1614	2387	4113	2281	1694	2234	3007	1196	1651	3155	3174	1441
jgi.p|Debha1|1290	267	451	727	559	393	537	2088	564	855	574	523	308
jgi.p|Debha1|1291	196	419	513	293	365	330	260	157	147	383	415	175
